127.0.0.1 - - [19/Dec/2025:11:23:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:23:30 +0530] "GET /CRUDAPP/controller/* HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:23:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:23:41 +0530] "GET /CRUDAPP/controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:23:45 +0530] "GET /CRUDAPP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:24:54 +0530] "GET /CRUDAPP/controller/* HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:24:57 +0530] "GET /CRUDAPP/controller/* HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:25:07 +0530] "GET /CRUDAPP/controller HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:11:25:10 +0530] "GET /CRUDAPP/controller HTTP/1.1" 200 -
